Group,Artifact,Version,Packaging,Repository
org.xmtp,android,0.14.8,aar,Maven Central
com.intuit.playerui,android,0.8.0-next.1,aar,Maven Central
com.indigitall,android,5.10.1,aar,Maven Central
io.journify.analytics.kotlin,android,1.0.6,aar,Maven Central
ru.tinkoff.kotea,android,1.2.1,aar,Maven Central
net.consentmanager.sdk,android,2.5.1,aar,Maven Central
io.didomi.sdk,android,2.9.0,aar,Maven Central
com.frontegg.sdk,android,1.2.16,aar,Maven Central
io.rownd,android,2.11.0,aar,Maven Central
com.viafoura,android,1.1.2,aar,Maven Central
io.github.webrtc-sdk,android,125.6422.03,aar,Maven Central
com.cordial.cordialsdk,android,4.14.1,aar,Maven Central
com.contentstack.sdk,android,3.15.1,aar,Maven Central
party.iroiro.luajava,android,4.0.1,pom,Maven Central
com.circlemedia.ads,android,1.0.1,aar,Maven Central
io.primer,android,2.27.6,aar,Maven Central
ru.astrainteractive.gradleplugin,android,1.3.4,jar,Maven Central
com.yubico.yubikit,android,2.6.0,aar,Maven Central
io.github.woody230.gradle,android,1.3.0,jar,Maven Central
dev.programadorthi.routing,android,0.0.17,aar,Maven Central
com.segment.analytics.kotlin,android,1.16.3,aar,Maven Central
pro.respawn.flowmvi,android,3.0.0,aar,Maven Central
com.inkapplications.watermelon,android,1.7.0,aar,Maven Central
io.appmetrica.gradle,android,2.0.0-beta+90,jar,Maven Central
com.kroger.cache,android,3.1.0-alpha.2,aar,Maven Central
com.bennyapi,android,1.2.1,aar,Maven Central
io.github.ackeescreenshoter,android,2.0.1,aar,Maven Central
com.kroger.telemetry,android,1.1.0,aar,Maven Central
se.ansman.dagger.auto,android,1.2.1,aar,Maven Central
io.github.ginvavilon.traghentto,android,0.6.7,aar,Maven Central
games.rednblack.gdxar,android,0.1,aar,Maven Central
com.taptap.android.payment,android,1.0.0-alpha.0,aar,Maven Central
io.github.bootpay,android,4.4.3,aar,Maven Central
com.bugfender.sdk,android,3.2.0,aar,Maven Central
io.joynr,android,1.24.2,pom,Maven Central
net.servicestack,android,1.1.0,aar,Maven Central
com.segmentify.sdk,android,2.1.9,aar,Maven Central
io.logto.sdk,android,1.1.3,aar,Maven Central
io.github.zxing-cpp,android,2.2.0,aar,Maven Central
com.pcloud.sdk,android,1.9.1,aar,Maven Central
dev.teogor.xenoglot,android,1.0.0-alpha01,aar,Maven Central
io.moneyhash,android,0.1.4.2,aar,Maven Central
com.avito.android,android,2023.22,jar,Maven Central
com.rover12421.android.hide,android,14.0.0_r2,aar,Maven Central
com.kulfyapp.sdk,android,1.1.3,aar,Maven Central
io.github.andrewchupin,android,1.1.0,aar,Maven Central
com.firework.core.di,android,6.3.4,aar,Maven Central
io.tutelar,android,0.0.2,aar,Maven Central
io.github.venturelabsbr,android,1.1.3-dev01,aar,Maven Central
se.ansman.deager,android,0.1.0,aar,Maven Central
com.cloudipsp,android,1.17.2,aar,Maven Central
br.com.zup.beagle,android,2.1.2,aar,Maven Central
io.github.agrawalashish1990,android,1.0.3,aar,Maven Central
io.github.brunogalv.contacts,android,1.0.1,jar,Maven Central
com.privakey.cx,android,2.2.2,aar,Maven Central
cloud.eppo,android,0.0.1,aar,Maven Central
com.flagsense,android,1.0.0,aar,Maven Central
com.attafitamim.navigation,android,1.0.0-beta01,aar,Maven Central
com.suprsend,android,0.1.2,aar,Maven Central
ai.redpen.capture.sdk,android,1.0.2,aar,Maven Central
com.plusauth,android,0.1.10,aar,Maven Central
com.veryfi,android,1.0.0,pom,Maven Central
io.github.dimagor555.mvicompose,android,1.0.0,aar,Maven Central
com.empyr,android,0.1.6,aar,Maven Central
dev.abd3lraouf.ruler,android,1.6.1,aar,Maven Central
com.aromajoin.sdk,android,2.4.6,aar,Maven Central
com.devtodev,android,1.15.0,aar,Maven Central
io.github.iamthevoid.extensions,android,0.6.10,aar,Maven Central
com.ciaransloan.mediapicker.library,android,1.0.0,aar,Maven Central
com.github.ginvavilon.traghentto,android,0.6.2,jar,Maven Central
com.sun.mail,android,1.6.7,pom,Maven Central
dk.nodes.utils,android,1.1.0,aar,Maven Central
com.dynatrace.tools,android,7.2.7.1233,jar,Maven Central
io.mehow.ruler,android,0.5.3,aar,Maven Central
org.hnau.db,android,1.0.2,aar,Maven Central
org.hnau.logging,android,1.0.1,aar,Maven Central
com.gregmarut.commons,android,0.6,jar,Maven Central
com.dukescript.presenters,android,1.7.1,jar,Maven Central
org.hnau,android,1.6.5,aar,Maven Central
ru.hnau,android,1.0.0,aar,Maven Central
com.rover12421.AndroidHideApi,android,2.0.1,aar,Maven Central
io.noties,android,9.0,jar,Maven Central
org.mockito,android,2.20.0,jar,Maven Central
com.dynatrace.ruxit.tools,android,1.0.3,jar,Maven Central
com.backendless,android,3.1.0,jar,Maven Central
com.virgilsecurity.sdk,android,4.2.0,aar,Maven Central
org.boofcv,android,0.26,jar,Maven Central
com.pryv,android,1.0.3,aar,Maven Central
com.redhat.ceylon.gradle,android,1.0.1,jar,Maven Central
com.att.m2x,android,5.1.0,aar,Maven Central
com.futureplatforms.kirin,android,2.0.3,jar,Maven Central
org.arakhne.afc.ui,android,13.0,apklib,Maven Central
uk.os.search,android,1.0.0,aar,Maven Central
com.whereismytransport.othertree.client.android,android,1.0.0,aar,Maven Central
com.google.android,android,4.1.1.4,jar,Maven Central
io.indico,android,1.0.2,jar,Maven Central
com.github.adedayo.intellij.sdk,android,142.1,jar,Maven Central
io.nextop,android,0.1.5,jar,Maven Central
it.appspice,android,0.1.8,aar,Maven Central
io.joynr.java,android,0.8.0,pom,Maven Central
com.jamesmcg.easylib,android,1.0.0,aar,Maven Central
net.glxn.qrgen,android,2.0,jar,Maven Central
net.stepniak.api.push,android,0.1.3,jar,Maven Central
com.iodesystems.android,android-libs,1.0.6,pom,Maven Central
org.apache.edgent.android,edgent-android,1.2.0,pom,Maven Central
com.soundcloud.android,android-crop,1.0.1,aar.asc,Maven Central
com.joanzapata.android,android-iconify-parent,1.0.11,pom,Maven Central
org.solovyev.android,android-common,1.1.18,pom,Maven Central
com.avito.android,android-logger,2023.22,aar,Maven Central
com.veryfi.android,veryfi-android,1.0.0,pom,Maven Central
com.indicative.client.android,Indicative-Android,1.1.0,aar,Maven Central
com.weather.android,airlock-sdk-android,5.4.2,aar,Maven Central
com.adobe.creativesdk.android.shared,android-shared,0.0.9,aar,Maven Central
com.google.maps.android,android-maps-utils-apklib,0.6.1,apklib,Maven Central
com.mustamara.android,yaftamobile-android-sdk,3.0.0,aar,Maven Central
jp.studyplus.android.sdk,studyplus-android-sdk2,2.2.1,aar,Maven Central
org.apache.edgent.android,edgent-platforms-android,1.2.0,pom,Maven Central
com.tapglue.android,tapglue-android-sdk,3.0.3,aar,Maven Central
com.inlocomedia.android,android-sdk,2.2.4,aar,Maven Central
org.metawidget.modules.android,metawidget-android,4.2,jar,Maven Central
it.sephiroth.android.library.android,recyclerview-multiselect,0.4.0,aar,Maven Central
com.mixpanel.android,mixpanel-android-experimental,4.6.1-EXPERIMENTAL,aar,Maven Central
com.yandex.android,ym-android-sdk,1.0,aar,Maven Central
io.branch.sdk.android,branch-android-sdk,1.1.8,N/A,Maven Central
it.sephiroth.android.exif,android-exif-extended,1.0.6,aar,Maven Central
com.octo.android.robospice,robospice-spring-android-parent,1.4.14,pom,Maven Central
com.github.destinyd.android.archetypes,android-archetypes,0.3.0,pom,Maven Central
it.sephiroth.android.library.easing,android-easing,1.0.3,aar,Maven Central
com.anjlab.android,android-async-http,1.0.2,aar.asc,Maven Central
me.dm7.android.widget,android.widget,1.0,aar,Maven Central
de.akquinet.android.archetypes,android-archetypes-it,1.1.0,jar,Maven Central
de.akquinet.android.archetypes,android-release,1.1.0,maven-archetype,Maven Central
de.akquinet.android.archetypes,android-quickstart,1.1.0,maven-archetype,Maven Central
de.akquinet.android.archetypes,android-archetype-project,1.1.0,pom,Maven Central
eu.inmite.android.lib,android-validation-komensky-parent,0.9.2,pom,Maven Central
eu.inmite.android.lib,android-styled-dialogs-parent,1.1.2,pom,Maven Central
com.aranea-apps.android.libs,android-async-runners-parent,1.0.1,pom,Maven Central
org.kevoree.corelibrary.android,org.kevoree.library.android.root,2.0.5,pom,Maven Central
ru.nikitav.android.archetypes,android-archetype-project,1.4,pom,Maven Central
it.tidalwave.bluebill.android,android-superpom,0.15,pom,Maven Central
io.joynr.android,core,1.24.2,pom,Maven Central
io.joynr.android,messaging,1.24.2,pom,Maven Central
io.joynr.android,common,1.24.2,pom,Maven Central
io.joynr.android,examples,1.19.9,pom,Maven Central
info.cukes,cucumber-android,1.2.6,pom,Maven Central
org.isoblue,isoblue-android,1.0.1,pom,Maven Central
com.mottimotti.android,parent,1.0.7,pom,Maven Central
net.simonvt,android-menudrawer,3.0.0,pom,Maven Central
com.codenameone,codenameone-android,7.0.154,jar,Maven Central
com.zoloz.android.build,zolozkit,1.4.2.240710110801,aar,Maven Central
net.bytebuddy,byte-buddy-android-test,1.14.18,pom,Maven Central
com.xiaoetong.android.sdk,webcore,2.2.46,aar,Maven Central
com.yandex.android,maps.mobile,4.6.1-navikit,aar,Maven Central
io.github.CshtZrgk,ocr-android,1.0.6,aar,Maven Central
com.alibaba.android,ddopenauth,1.5.0.11,aar,Maven Central
ai.djl.android,core,0.27.0,aar,Maven Central
world.mappable.android,maps.mobile,1.2.1-navikit,aar,Maven Central
com.zoloz.android.build,znfc,1.3.6.240223182256,aar,Maven Central
com.zoloz.android.build,nearx,1.3.6.240223182256,aar,Maven Central
io.joynr.android.messaging,mqtt,1.24.2,pom,Maven Central
io.joynr.android.messaging,websocket,1.24.2,pom,Maven Central
io.joynr.android,dependency-lock,1.24.2,pom,Maven Central
com.hianzuo.android,LibAndroidLogger,1.1.22,aar,Maven Central
io.github.CshtZrgk,jp2-android,1.0.0,aar,Maven Central
io.rollout.rox,rox-android,5.0.13,aar,Maven Central
com.prismacampaigns.sdk,PrismaSDK-Android,1.1.11,aar,Maven Central
com.mozu,mozu-api-android,2.6.1-RC1,aar,Maven Central
io.relevantbox,android-sdk,3.3.3,aar,Maven Central
cn.entertech.android,tdcsble,1.2.0-alpha01,aar,Maven Central
net.crashsight,crashsight-android,4.3.1.1,aar,Maven Central
com.bluecats,bluecats-android-sdk,2.1.8-r1,aar,Maven Central
com.helpshift,android-helpshift-aar,7.11.2,aar,Maven Central
com.hianzuo.android,LibSpring,1.0.15,aar,Maven Central
io.xenn,android-sdk,3.2.12,aar,Maven Central
cn.entertech.android,cushionble,1.0.0-alpha13,aar,Maven Central
com.nexmo.android,client-sdk,4.1.3,aar,Maven Central
com.uniquext.android,permission,2.1.3,aar,Maven Central
org.signal,ringrtc-android-debug,2.20.11.1,aar,Maven Central
com.gxun,gxun-sdk-android,0.9.3,aar,Maven Central
cn.entertech.android,cushionbleui,1.0.0-alpha01,aar,Maven Central
cn.entertech.android,smartglassesble,1.0.0-alpha05,aar,Maven Central
com.bihe0832.android,common-test,4.20.14,aar,Maven Central
com.github.android-password-store.kotlin-android,com.github.android-password-store.kotlin-android.gradle.plugin,0.0.2,pom,Maven Central
com.github.android-password-store.android-library,com.github.android-password-store.android-library.gradle.plugin,0.0.2,pom,Maven Central
com.github.android-password-store.android-common,com.github.android-password-store.android-common.gradle.plugin,0.0.2,pom,Maven Central
com.github.android-password-store.android-application,com.github.android-password-store.android-application.gradle.plugin,0.0.2,pom,Maven Central
io.joynr.examples,android-hello-world,1.19.9,pom,Maven Central
org.signal,zkgroup-android,0.9.0,aar,Maven Central
com.mparticle,android-example-kit,5.17.0,aar,Maven Central
com.bihe0832.android,common-ipc,4.4.0,aar,Maven Central
net.polyv.android,polyvModuleABI,1.7.3,aar,Maven Central
net.polyv.android,polyvPlayerABI,1.9.9,aar,Maven Central
cn.entertech.android,biomoduleble-dfu,1.11.0,aar,Maven Central
cn.entertech.android,biomodulebleui,1.0.8,aar,Maven Central
com.flurry.android,ads,12.13.0,aar,Maven Central
com.alibaba.android.workbench,easymnn,0.1.2,aar,Maven Central
com.alibaba.android.mnnkit,core,0.1.2,aar,Maven Central
com.gitee.l0km,zyfsdk-android,3.2.0,pom,Maven Central
com.mopub,omsdk-android,1.3.16,aar,Maven Central
com.alibaba.android,mnn,0.0.8,aar,Maven Central
com.estmob.android,sendanywhere,11.1.20,aar,Maven Central
com.estmob.android,sendanywhere-core,11.1.21,aar,Maven Central
com.estmob.android,sendanywhere-transfer,10.12.3,aar,Maven Central
com.alibaba.android.workbench,mnndebug,0.0.7,aar,Maven Central
co.omise,threeds-android,1,aar,Maven Central
com.foursquare,foursquare-android-oauth,1.1.1,aar,Maven Central
com.alibaba.android.workbench,pymnn,0.0.1,aar,Maven Central
com.alibaba.android.workbench,numpy,0.0.6,aar,Maven Central
com.alibaba.android.workbench,opencv,0.0.5,aar,Maven Central
com.alibaba.android.workbench,mnnruntime,0.0.4,aar,Maven Central
com.alibaba.android.workbench,mnnvm,0.0.2,aar,Maven Central
ly.iterative.mparticle,android-core,5.14.12,aar,Maven Central
com.mparticle,android-instabot-kit,5.14.16,aar,Maven Central
org.signal,libsignal-jni-android,0.0.1,aar,Maven Central
org.dmfs,android-syncstate,0.4,aar,Maven Central
net.yiim.yismcore,yismcore-android,1.0.1,aar,Maven Central
com.amazonaws,aws-android-sdk-pom,2.16.13,pom,Maven Central
co.zuper.android,zuperforms,1.0.9,aar,Maven Central
org.signal,signal-metadata-android,0.1.2,aar,Maven Central
com.mobgen.halo.android,halo-presenter,2.9.3,aar,Maven Central
com.nexmo.android,miniRTC,0.1.8,aar,Maven Central
com.gitee.l0km,mtfsdk-android,2.4.2,pom,Maven Central
com.alibaba.android.mnnkit,portraitsegmentation,0.0.6,aar,Maven Central
com.alibaba.android.mnnkit,handgesturedetection,0.0.6,aar,Maven Central
com.alibaba.android.mnnkit,facedetection,0.0.5,aar,Maven Central
com.yandex.android,directions,3.5.0,aar,Maven Central
com.yandex.android,search,3.5.0,aar,Maven Central
com.yandex.android,transport,3.5.0,aar,Maven Central
com.yandex.android,places,3.5.0,aar,Maven Central
com.yandex.android,mapkit,3.5.0,aar,Maven Central
com.yandex.android,runtime,3.5.0,aar,Maven Central
com.github.marcelosmith77,android-realm,1.01.03,aar,Maven Central
com.klinkerapps,android-smsmms,5.2.6,aar,Maven Central
com.nexmo.android,client-infrastructures,0.0.5,aar,Maven Central
com.urbanairship.android,urbanairship-gcm,9.7.3,aar,Maven Central
com.urbanairship.android,urbanairship-sdk,9.7.3,aar,Maven Central
com.payline,android-sdk,0.9.0,aar,Maven Central
com.uniquext.android,rxlifecycle,2.0.0,aar,Maven Central
org.whispersystems,signal-service-android,2.15.3,aar,Maven Central
org.whispersystems,signal-protocol-android,2.8.1,aar,Maven Central
com.github.dq2020.android,dqvmlib,1.0.0,aar,Maven Central
com.univapay,univapay-android-widget,0.0.1,aar,Maven Central
com.contentsquare.android.v1,library,2.1.3,aar,Maven Central
com.onepointsixtwo,dagger_viewmodel_android,2.0.0,aar,Maven Central
mobi.alphapush,push-android-base,0.0.2,aar,Maven Central
mobi.alphapush,properties-android,0.0.2,aar,Maven Central
com.urbanairship.android,segment-integration,2.1.0,aar,Maven Central
com.soasta.mpulse,mpulse-android,2.6.3,aar,Maven Central
com.mparticle,android-inspector,5.9.7,aar,Maven Central
com.mparticle,android-kahuna-kit,5.9.5,aar,Maven Central
com.lucidchart,sbt-android-room,0.0.16,jar,Maven Central
net.iris,android-guest-library,5.9.0-alpha01,aar,Maven Central
it.sephiroth.android.library,statemachine,0.0.2,aar,Maven Central
com.gitee.l0km,cassdk-android,2.1.11,pom,Maven Central
com.uniquext.android,widget,1.0.1,aar,Maven Central
com.nexmo.android,client-core,0.0.10,aar,Maven Central
org.tensorflow,tensorflow-android,1.13.1,aar,Maven Central
com.github.dineshbotcha,android-artifact,9.1,aar,Maven Central
com.simperium.android,simperium,0.7.1,aar,Maven Central
com.cashlez.android,cashlez,1.5.3.6,aar,Maven Central
com.frostwire,jlibtorrent-android-x86,1.2.0.18,jar,Maven Central
com.frostwire,jlibtorrent-android-x86_64,1.2.0.18,jar,Maven Central
com.frostwire,jlibtorrent-android-arm64,1.2.0.18,jar,Maven Central
com.frostwire,jlibtorrent-android-arm,1.2.0.18,jar,Maven Central
com.cloudrail,cloudrail-si-android,2.22.4,aar,Maven Central
com.packetzoom,pz-android-sdk,3.2.43,aar,Maven Central
org.whispersystems,curve25519-android,0.5.0,aar,Maven Central
com.simplify,simplify-android,3.2.3,aar,Maven Central
com.github.mr746866,android-scalable-units,1.0.0,aar,Maven Central
com.hianzuo.android,LibDBAccess,1.0.2,aar,Maven Central
com.dev-smart,devsmart-android,0.1.12,aar,Maven Central
org.apache.edgent.android,edgent-utils,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-providers,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-spi,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-runtime,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-apps,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-connectors,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-analytics,1.2.0,pom,Maven Central
org.apache.edgent.android,edgent-api,1.2.0,pom,Maven Central
me.dm7.jrengage.android,jrengage,3.8,aar,Maven Central
com.aispeech.android,dds-sdk,1.0.3.3,aar,Maven Central
com.aispeech.android,lib-dds,1.0.3.2,aar,Maven Central
com.github.sljjyy,tzapi4android,1.7.6,aar,Maven Central
com.webex,wme4android-release,7.7.1,aar,Maven Central
io.adaptivecards,adaptivecards-android-arm,1.0.0,aar,Maven Central
org.jboss.aerogear,aerogear-android-bom,1.1.2,pom,Maven Central
io.flowup,android-sdk,1.0.0,aar,Maven Central
org.jdeferred,jdeferred-android-aar,1.2.6,aar,Maven Central
org.jdeferred,jdeferred-android-apklib,1.2.6,apklib,Maven Central
com.alikeaudience.sdk,android-sdk,1.18,aar,Maven Central
ir.twostepverification.sdk,android-sdk,1.0.0,aar,Maven Central
com.sprylab.android.texturevideoview,parent,1.2.1,pom,Maven Central
com.github.sljjyy,tzapi4android-debug,1.7.0,aar,Maven Central
org.whispersystems,webrtc-android,14579,aar,Maven Central
org.whispersystems,webrtc-android-debug,14579,aar,Maven Central
com.hianzuo.android,LibRootTools,1.0.2,aar,Maven Central
com.tascape,reactor-x-android,1.2.0,pom,Maven Central
com.jayway.android.robotium,robotium,5.6.3,pom,Maven Central
io.getlime.security,powerauth-android,0.11.1,jar,Maven Central
com.eftimoff,android-patternview,1.0.6,aar.asc,Maven Central
com.openmoka.android,widget-porterduff,0.1.1-Beta,aar,Maven Central
com.openmoka.android,widget,0.1.1-Beta,aar,Maven Central
com.openmoka.android,openmokalib,0.1.1-Beta,aar,Maven Central
io.datasnap,datasnap-android-sdk,2.0.1,aar,Maven Central
com.scarabsoft,jrest-android,1.0.2,jar,Maven Central
com.tascape.qa,thx-android,1.1.1,pom,Maven Central
com.hianzuo.android,LibLruCache,1.0.0,aar,Maven Central
com.hianzuo.android,LibViewInject,1.0.0,aar,Maven Central
io.lqd,liquid-android,2.1.1,aar.asc,Maven Central
com.mparticle,android-sdk,4.4.8,aar,Maven Central
com.mparticle,android-crittercism-kit,4.4.8,aar,Maven Central
com.mapzen.android,speakerbox-parent,1.4.0,pom,Maven Central
com.bitpay,android-sdk,1.0.1-release,aar.asc,Maven Central
org.whispersystems,textsecure-android,1.8.7,aar,Maven Central
org.deephacks.lmdbjni,lmdbjni-android,0.4.6,jar,Maven Central
org.whispersystems,axolotl-android,1.4.3,aar,Maven Central
com.kifile.android.widget,RatioLayout,0.1,aar,Maven Central
com.helpshift,android-snapshot-aar,4.2.0,aar,Maven Central
com.eftimoff,android-pathview,1.0.8,aar.asc,Maven Central
com.yandex.android,syrinx-sdk,1.00,aar,Maven Central
com.turhanoz.android,reactivedirectorychooser,0.0.13,aar.asc,Maven Central
org.eclipse.paho,android-service-parent,1.0.2,pom,Maven Central
com.helpshift,android-en-aar,4.2.0-support,aar,Maven Central
com.helpshift,android-aar,4.2.0-support,aar,Maven Central
com.kifile.android.cornerstone,Cornerstone,1.3,aar,Maven Central
com.kifile.android.utils,utils,0.3,aar,Maven Central
com.laimiux,android-youtube-listview,0.1.2,aar.asc,Maven Central
com.turhanoz.android,rxproximitybeacon,0.0.1,aar.asc,Maven Central
io.traceguide,api-android,1.0.2,aar,Maven Central
com.turhanoz.android,rxgoogleauthentication,0.0.1,aar.asc,Maven Central
com.frostwire,jlibtorrent-android,1.1.0.9,pom,Maven Central
com.github.chenupt.android,multiplemodel,2.0.1,aar.asc,Maven Central
com.mercadopago,mpos-sdk-android,0.1.0,aar.asc,Maven Central
com.mercadopago,registration-sdk-android,0.0.8,aar.asc,Maven Central
com.mercadopago,connect-sdk-android,0.1.1,aar.asc,Maven Central
com.spotxchange,spotx-mopub-android,2.0.0,aar,Maven Central
com.squareup,android-times-square-parent,1.6.3,pom,Maven Central
com.mercadopago,notifier-sdk-android,0.0.8,aar.asc,Maven Central
com.zeropush,zeropush-android,1.1.2.Final,jar,Maven Central
com.codinguser.android,contactpicker,3.0.0,aar.asc,Maven Central
fm.feed.android,PlayerSDK,3.0.0,aar,Maven Central
com.joanzapata.pdfview,android-pdfview-parent,1.0.4,pom,Maven Central
com.bignerdranch.android,recyclerview-multiselect,0.2,aar,Maven Central
com.speedui.android,recyclerview-multiselect,0.1.1,aar,Maven Central
com.speedui.android,uiautomation,0.2,aar,Maven Central
com.speedui,speedui-android,0.1,aar,Maven Central
com.atooma,atooma-android-sdk,2.0,aar,Maven Central
org.jdeferred,jdeferred-android-parent,1.2.4,pom,Maven Central
io.lqd,liquid-android-sdk,1.0.0,aar.asc,Maven Central
net.p-lucky,logbk-android,1.2.1,aar.asc,Maven Central
com.mapzen.android,lost-parent,1.0.1,pom,Maven Central
us.wearabouts,android-sdk,0.1.3,aar.asc,Maven Central
be.shouldit,android-proxy-library,4.0.0,aar.asc,Maven Central
com.luciocossio.android,EnhancedList,0.0.2,aar,Maven Central
com.eftimoff,android-viewpager-transformers,1.0.1,aar.asc,Maven Central
com.mapzen.android,prefs-plus-parent,1.0.0,pom,Maven Central
info.android15.nucleus,nucleus-parent,0.2,pom,Maven Central
jp.webpay.android,webpay-token,1.0.0,aar.asc,Maven Central
com.squareup.burst,burst-android-test,1.0.2,pom,Maven Central
com.litl,android-leveldb,1.0.3,aar.asc,Maven Central
com.taqtile,taqtile-sdk-android,1.3.3,aar,Maven Central
com.getbase.android.db,parent,0.10.1,pom,Maven Central
org.solovyev.android,calculatorpp-parent,2.0.6,pom,Maven Central
com.github.kikoso,AppRate-Android,1.0-RELEASE,aar,Maven Central
com.octo.android.robospice,robospice-parent,1.4.14,pom,Maven Central
net.sf.mardao,mardao-android-parent,2.3.6,pom,Maven Central
com.github.cubing,tnoodle-android,0.8.9,aar.asc,Maven Central
fr.baloomba,feeligo_android_sdk,1.0.0,aar,Maven Central
com.aranea-apps.android.libs,parent,1.7.0,pom,Maven Central
de.timroes.android,EnhancedListView,0.3.4,aar,Maven Central
com.uphyca,android-junit4-parent,0.5,pom,Maven Central
be.ugent,ugent-android-sdk,0.0.2_Build-1,aar.asc,Maven Central
net.netheos,pcs-api-android,1.0.1,aar,Maven Central
pt.pimentelfonseca,agile-scala-android,0.6,jar,Maven Central
com.github.techisfun,android-utils,0.3,aar.asc,Maven Central
de.akquinet.android.roboject,roboject-project,1.3.0,pom,Maven Central
com.marksandspencer,MNSRemoteAB-Android,1.0.0,aar.asc,Maven Central
it.sephiroth.android.exif,library,1.0.1,aar,Maven Central
com.anjlab.android,adintegrator,1.0.0,aar.asc,Maven Central
com.almende.eve,eve-android,2.2.2,jar,Maven Central
com.tlorrain.android.rezenerator,rezenerator,1.0-RC2,pom,Maven Central
com.mottimotti.android,mottimotti-library,1.0.9,aar.asc,Maven Central
com.andrearichiardi.android,ava-project,0.0.1,pom,Maven Central
net.pocorall,pocorall-android-base-pom,1.2,pom,Maven Central
com.vandalsoftware.android,cache-library,1.0.3,aar.asc,Maven Central
fr.dvilleneuve.android,enhanced-edittext-parent,1.2,pom,Maven Central
asia.ivity.android,marqueeview,1.1.5,aar,Maven Central
asia.ivity.android,marqueeview-apklib,1.1.5,apklib,Maven Central
com.mottimotti.android,sample,1.0.7,apk,Maven Central
com.mottimotti.android,library,1.0.7,apklib,Maven Central
com.github.snowdream.android,parent,0.0.9,pom,Maven Central
com.dmitriy-tarasov,android-intents-parent,1.1.0,pom,Maven Central
com.vandalsoftware.android,dslv,0.6.3,aar,Maven Central
com.evernote,android-sdk-parent,1.1.2,pom,Maven Central
net.simonvt,android-menudrawer-sample,3.0.0,pom,Maven Central
net.simonvt,android-menudrawer-parent,3.0.0,pom,Maven Central
net.trajano.project,android-project,1,pom,Maven Central
net.droidlabs.android.audio.ogg,parent,1.0.0,pom,Maven Central
com.github.rtyley,android-screenshot-parent,1.9,pom,Maven Central
de.akquinet.android.androlog,androlog-project,1.0.6,pom,Maven Central
com.octo.android.robodemo,robodemo-parent,1.0.6,pom,Maven Central
in.uncod.android.bypass,parent,1.1,pom,Maven Central
net.simonvt,android-datepicker-parent,1.0.0,pom,Maven Central
net.simonvt,android-timepicker-parent,1.0.0,pom,Maven Central
net.simonvt,android-calendarview-parent,1.0.0,pom,Maven Central
net.simonvt,android-numberpicker-parent,1.0.0,pom,Maven Central
net.rdrei.android.dirchooser,parent,1.0-pre-v11,pom,Maven Central
net.saik0.android.unifiedpreference,parent,0.0.2,pom,Maven Central
com.wu-man,gremlin-android,2.1.0.0,pom,Maven Central
com.wu-man,blueprints-android,2.1.0.2,pom,Maven Central
com.wu-man,orientdb-android-parent,1.1.0.1,pom,Maven Central
org.solovyev.android,billing-test,1.0.1,pom,Maven Central
org.solovyev.android,billing-parent,1.0.1,pom,Maven Central
de.akquinet.android.marvin,marvin-project,1.1.0,pom,Maven Central
fr.norsys.asoape,android-soap-enabler,1.1,pom,Maven Central
es.prodevelop,es.prodevelop.android.library,1.1.0,pom,Maven Central
org.sgine,sgine-opengl-android_2.9.0,1.0,jar,Maven Central
de.akquinet.android.rindirect,rindirect-project,0.4.1,pom,Maven Central
org.jsefa,jsefa-android,0.9.3.RELEASE,jar,Maven Central
org.scala-tools,android-plugin,0.4.1,jar,Maven Central
net.sf.retrotranslator,retrotranslator-android,1.2.7,jar,Maven Central
io.sentry.android.gradle,io.sentry.android.gradle.gradle.plugin,4.10.0,pom,Maven Central
org.jetbrains.kotlin.android,org.jetbrains.kotlin.android.gradle.plugin,2.0.20-Beta2,pom,Maven Central
org.jetbrains.kotlin.android.extensions,org.jetbrains.kotlin.android.extensions.gradle.plugin,2.0.20-Beta2,pom,Maven Central
com.mixpanel.android,mixpanel-android,7.5.2,aar,Maven Central
com.google.dagger.hilt.android,com.google.dagger.hilt.android.gradle.plugin,2.51.1,pom,Maven Central
com.facebook.android,facebook-android-sdk,17.0.0,aar,Maven Central
io.joynr.android,libjoynr-android-integration-tests,1.24.2,jar,Maven Central
io.joynr.android,libjoynr-android-websocket-runtime,1.24.2,jar,Maven Central
io.joynr.android,joynr-android-binder-runtime,1.24.2,aar,Maven Central
io.joynr.android,slf4j-android-bindings,1.24.2,jar,Maven Central
com.avito.android,test-report-android,2023.22,aar,Maven Central
io.github.licy5352.dagger.hilt.android,io.github.licy5352.dagger.hilt.android.gradle.plugin,2.45-kim-rc1,pom,Maven Central
com.avito.android,android-device,2023.2,jar,Maven Central
com.growingio.android,vds-android-agent,2.9.16,aar,Maven Central
org.librarysimplified.android.theme,org.librarysimplified.android.theme,0.0.4,aar,Maven Central
io.sugo.android,sugo-android-sdk-wxj,3.4.0,aar,Maven Central
io.sugo.android,sugo-android-sdk,3.4.0,aar,Maven Central
com.likethesalad.android,android-buddy-tools,1.1.1,jar,Maven Central
